,ItemName,Brand,BrandModel,Processor_Brand,Processor_Des,Processor_Gen,RAM,Storage,OS,ScreenSize_cm,Price,Discount,Star_Rating,Reviews,Ratings
0,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop,Lenovo ,Lenovo IdeaPad,Intel,Core i3,11th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,41990.0,34,4.4,41,389
1,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,Lenovo ,Lenovo IdeaPad,Intel,Core i3,10th Gen,8 GB,256 GB SSD,Windows 11 Operating System,39.62 cm,36990.0,36,4.4,252,2305
2,DELL Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop,DELL ,DELL Core,Intel,Core i3,10th Gen,8 GB,1 TB HDD256 GB SSD,64 bit Windows 11 Operating System,39.62 cm,39990.0,27,4.4,18,130
3,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,HP ,HP Ryzen,AMD,Ryzen 3,,8 GB,256 GB SSD,64 bit Windows 11 Operating System,39.62 cm,35990.0,21,4.3,255,2363
4,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2627TU Thin and Light Laptop,HP ,HP Core,Intel,Core i3,11th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,41690.0,19,4.3,2,16
5,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and L...,ASUS ,ASUS VivoBook,Intel,Core i3,10th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,37990.0,25,4.3,153,1301
6,HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq4021TU Thin and Light Laptop,HP ,HP Core,Intel,Core i5,11th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,53990.0,23,4.3,36,258
7,Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Infinix ,Infinix INBook,Intel,Core i3,10th Gen,8 GB,256 GB SSD,64 bit Windows 11 Operating System,35.56 cm,32990.0,34,4.3,388,1795
8,Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,Lenovo ,Lenovo Core,Intel,Core i3,10th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,38990.0,37,4.5,3,46
9,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop,HP ,HP Core,Intel,Core i3,11th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,42990.0,16,4.4,44,491
10,DELL Vostro Ryzen 3 Dual Core R3-3250U - (8 GB/1 TB HDD/Windows 11 Home) Vostro 3405 Thin and Light La�,DELL ,DELL Vostro,AMD,Ryzen 3,,8 GB,1 TB HDD,64 bit Windows 11 Operating System,35.56 cm,33990.0,32,4.2,15,110
11,Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light ...,Lenovo ,Lenovo IdeaPad,Intel,,4th Gen,4 GB,256 GB SSD,64 bit Windows 10 Operating System,35.56 cm,28990.0,28,4.1,24,326
12,Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15IML05 Thin and Light Laptop,Lenovo ,Lenovo IdeaPad,Intel,Core i5,10th Gen,8 GB,512 GB SSD,Windows 10 Operating System,39.62 cm,47990.0,25,4.1,15,154
13,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,Lenovo ,Lenovo IdeaPad,AMD,Ryzen 5,,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,48490.0,29,4.3,35,295
14,DELL Vostro Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X9K0T Thin and Light Laptop,DELL ,DELL Vostro,Intel,Core i3,10th Gen,8 GB,1 TB HDD256 GB SSD,64 bit Windows 11 Operating System,39.62 cm,39990.0,27,4.4,18,130
15,acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop,acer ,acer Aspire,AMD,Ryzen 3,,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,35990.0,20,4.3,10,54
16,ASUS VivoBook 14 Pentium Silver - (4 GB/256 GB SSD/Windows 11 Home) X415KA-EK111WS Thin and Light Lapt...,ASUS ,ASUS VivoBook,Intel,,,4 GB,256 GB SSD,64 bit Windows 11 Operating System,35.56 cm,28990.0,25,4.0,7,70
17,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop,Lenovo ,Lenovo IdeaPad,Intel,Core i3,10th Gen,8 GB,1 TB HDD,64 bit Windows 10 Operating System,39.62 cm,34990.0,38,4.0,257,2362
18,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop,HP ,HP Core,Intel,Core i3,11th Gen,8 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,41490.0,16,4.3,79,870
19,Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Infinix ,Infinix INBook,Intel,Core i3,10th Gen,8 GB,256 GB SSD,64 bit Windows 11 Operating System,35.56 cm,32990.0,34,4.3,388,1795
20,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light Laptop,HP ,HP Core,Intel,Core i3,11th Gen,8 GB,256 GB SSD,64 bit Windows 11 Operating System,35.56 cm,38990.0,20,4.3,52,454
21,HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 165...,HP ,HP Pavilion,AMD,Ryzen 5,,8 GB,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm,59990.0,14,4.5,570,5166
22,ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1020T Laptop,ASUS ,ASUS Pentium,Intel,,,4 GB,1 TB HDD,64 bit Windows 10 Operating System,39.62 cm,25990.0,21,3.7,667,4822
